Date,Time,CPU Core 1 (C),CPU Core 2 (C),CPU Core 3 (C),CPU Core 4 (C),CPU PECI (C),CPU Proximity (C),CPU System Agent Core (C),AMD Radeon GPU (C),AMD Radeon GPU Proximity (C),Intel Iris Pro GPU (C),Battery Sensor 1 (C),Battery Sensor 2 (C),Battery Sensor Max (C),Air Flow Proximity (C),AirPort Proximity (C),Heatpipe Outgoing Air (C),Heatpipe Outgoing Air (C),Left Heatsink Proximity (C),Platform Controller Hub Die (C),Right Heatsink Proximity (C),Memory Module Proximity (C),Memory Slot (C),Palmrest Proximity (C),Palmrest Proximity (C),SSD A (C),SSD B (C),CPU Average (C),Computer Average (C),Left Side (RPM),Right side (RPM),Fan Average (RPM),Shutdown Reason,Fan Diagnostics,Sensor Diagnostics
2016-05-08,01:18:56,82,83,79,76,83,44,64,35,40,55,25,25,25,28,35,32,32,36,43,37,37,34,23,23,39,38,73,44,2205,2036,2120,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:57,68,65,67,70,67,44,59,35,41,54,25,25,25,28,35,32,32,36,43,37,37,34,23,23,39,38,63,42,2177,2013,2095,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:58,68,64,60,59,65,45,60,35,42,55,25,25,25,28,35,32,32,36,43,37,37,34,23,22,39,38,60,41,2153,1998,2075,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:59,56,55,54,54,58,44,56,35,42,54,25,25,25,28,35,32,32,36,43,37,37,34,23,23,39,38,54,39,2150,2005,2077,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:00,57,57,55,54,58,45,56,35,42,53,25,25,25,28,35,32,32,36,43,36,37,34,23,23,39,38,54,39,2163,1993,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:01,62,59,56,56,61,45,57,35,42,53,25,25,25,28,35,32,32,37,43,37,37,34,23,23,39,38,57,40,2165,2005,2085,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:02,60,59,56,56,61,45,57,35,43,54,25,25,25,28,35,32,32,37,43,36,37,34,23,23,39,38,56,40,2152,2002,2077,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:03,63,63,60,59,65,46,59,35,43,54,25,25,25,28,35,32,32,37,43,36,38,35,23,23,39,38,59,41,2166,1993,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:04,57,56,54,54,58,46,57,35,43,54,25,25,25,28,35,32,32,37,43,37,37,35,23,23,39,38,55,40,2152,2006,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:05,68,67,64,64,62,46,60,35,42,55,25,25,25,28,35,32,32,36,43,36,37,35,23,23,39,38,62,41,2164,1992,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:06,57,56,55,54,58,46,56,35,43,52,25,25,25,28,35,32,32,36,43,37,38,35,23,23,39,38,55,40,2164,2007,2085,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:07,65,63,61,57,59,46,58,35,44,54,25,25,25,28,35,32,32,37,43,38,38,35,23,23,39,38,58,41,2152,1993,2072,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:08,72,72,69,68,66,46,61,35,43,55,25,25,25,28,35,32,32,37,43,37,38,35,23,23,39,38,65,42,2164,2007,2085,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:09,70,69,68,67,65,46,59,35,43,53,25,25,25,28,35,32,32,38,43,38,38,35,23,23,39,38,63,42,2168,1992,2080,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:10,60,58,57,54,60,46,57,35,44,53,25,25,25,28,35,32,32,37,43,38,38,35,22,23,39,38,56,40,2152,2007,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:11,60,58,57,54,60,46,57,35,44,53,25,25,25,28,35,32,32,37,43,38,38,35,22,23,39,38,56,40,2163,1993,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:12,61,59,55,55,59,46,56,35,44,54,25,25,25,28,35,32,32,38,43,38,38,35,22,23,39,38,56,40,2165,2007,2086,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:13,56,54,53,51,56,46,55,35,44,53,25,25,25,28,35,32,32,38,43,38,38,35,22,23,39,38,53,39,2151,1993,2072,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:14,54,53,51,52,54,46,53,35,44,52,25,25,25,28,34,32,32,38,43,38,38,35,22,23,39,38,52,39,2166,2006,2086,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:15,52,53,51,51,53,46,51,35,44,52,25,25,25,28,34,32,32,38,43,38,38,35,22,23,39,38,51,39,2156,1994,2075,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:16,52,52,51,50,53,45,52,35,44,52,25,25,25,28,34,32,32,38,43,38,38,35,22,23,39,38,51,39,2154,1997,2075,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:17,54,53,52,51,56,45,54,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,22,23,39,38,52,39,2167,2006,2086,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:18,54,54,52,51,57,44,53,35,44,52,25,25,25,28,35,32,32,38,43,38,38,35,23,23,39,38,52,39,2152,1992,2072,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:19,58,56,54,54,59,44,55,35,44,52,25,25,25,28,35,32,32,37,43,38,38,35,23,23,39,38,54,40,2161,2008,2084,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:20,53,53,50,51,55,45,52,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,39,38,51,39,2167,1993,2080,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:21,53,52,51,50,54,45,52,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,39,38,51,39,2151,2005,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:22,53,53,51,51,54,45,52,35,44,51,25,25,25,28,35,32,32,38,43,37,38,35,23,23,39,38,51,39,2163,1995,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:23,54,53,52,51,54,45,53,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,39,38,52,39,2167,2007,2087,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:24,56,53,51,51,56,45,53,35,44,52,25,25,25,28,35,32,32,37,43,38,38,35,23,23,40,38,52,39,2152,1992,2072,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:25,51,50,50,49,52,44,51,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,50,38,2162,2008,2085,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:26,52,51,50,50,54,45,51,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,50,39,2166,1993,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:27,52,52,52,50,55,44,52,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,51,39,2153,2006,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:28,52,52,52,50,55,44,52,35,43,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,51,39,2165,1994,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:29,53,51,49,49,53,44,51,35,44,51,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,50,38,2157,2008,2082,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:30,53,51,50,49,54,44,50,35,43,50,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,50,38,2154,1992,2073,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:31,52,52,50,49,54,44,51,35,43,50,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,50,38,2166,2007,2086,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:32,53,51,49,50,54,44,51,35,43,51,25,25,25,28,35,32,32,38,43,38,38,34,23,23,40,38,50,38,2153,1994,2073,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:33,52,51,49,49,51,44,51,35,43,50,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,50,38,2162,1999,2080,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:34,53,52,49,52,50,44,52,35,43,50,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,50,38,2166,2004,2085,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:35,51,49,47,48,50,44,49,35,43,49,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,48,38,2152,1995,2073,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:36,56,51,52,55,51,44,51,35,43,49,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,51,39,2165,2007,2086,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:37,52,50,48,48,53,44,50,35,43,49,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,49,38,2165,1994,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:19:38,55,53,52,52,53,44,52,35,42,49,25,25,25,28,35,32,32,38,43,38,38,35,23,23,40,38,52,39,2151,2006,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
